days, time_start, time_end, lecture_hours, total_hours, days2, time_start2, time_end2, lecture_hours2, total_hours2
MWF, 7:00AM, 9:00AM, 1, 2,,,,,
MWF, 8:00AM, 10:00AM, 1, 2,,,,,
MWF, 9:00AM, 11:00AM, 1, 2,,,,,
MWF, 10:00AM, 12:00PM, 1, 2,,,,,
MWF, 11:00AM, 1:00PM, 1, 2,,,,,
MWF, 12:00PM, 2:00PM, 1, 2,,,,,
MWF, 1:00PM, 3:00PM, 1, 2,,,,,
MWF, 2:00PM, 4:00PM, 1, 2,,,,,
MWF, 3:00PM, 5:00PM, 1, 2,,,,,
MWF, 4:00PM, 6:00PM, 1, 2,,,,,
MWF, 5:00PM, 7:00PM, 1, 2,,,,,
MWF, 6:00PM, 8:00PM, 1, 2,,,,,
MWF, 7:00PM, 9:00PM, 1, 2,,,,,
TR, 8:00AM, 11:00AM, 1.5, 3,,,,,
TR, 12:00PM, 3:00PM, 1.5, 3,,,,,
TR, 1:30PM, 4:30PM, 1.5, 3,,,,,
TR, 3:00PM, 6:00PM, 1.5, 3,,,,,
TR, 4:00PM, 7:00PM, 1.5, 3,,,,,
TR, 4:30PM, 7:30PM, 1.5, 3,,,,,
TR, 5:00PM, 8:00PM, 1.5, 3,,,,,
TR, 5:30PM, 8:30PM, 1.5, 3,,,,,
TR, 6:00PM, 9:00PM, 1.5, 3,,,,,
MTWR, 7:00AM, 8:00AM, 1, 1,,,,,
MTWR, 8:00AM, 9:00AM, 1, 1,,,,,
MTWR, 9:00AM, 10:00AM, 1, 1,,,,,
MTWR, 10:00AM, 11:00AM, 1, 1,,,,,
MTWR, 11:00AM, 12:00PM, 1, 1,,,,,
MTWR, 12:00PM, 1:00PM, 1, 1,,,,,
MTWR, 1:00PM, 2:00PM, 1, 1,,,,,
MTWR, 2:00PM, 3:00PM, 1, 1,,,,,
MTWR, 3:00PM, 4:00PM, 1, 1,,,,,
MWF, 7:00AM, 8:00AM, 1, 1,,,,,
MWF, 8:00AM, 9:00AM, 1, 1,,,,,
MWF, 9:00AM, 10:00AM, 1, 1,,,,,
MWF, 10:00AM, 11:00AM, 1, 1,,,,,
MWF, 11:00AM, 12:00PM, 1, 1,,,,,
MWF, 12:00PM, 1:00PM, 1, 1,,,,,
MWF, 1:00PM, 2:00PM, 1, 1,,,,,
MWF, 2:00PM, 3:00PM, 1, 1,,,,,
MWF, 3:00PM, 4:00PM, 1, 1,,,,,
MWF, 4:00PM, 5:00PM, 1, 1,,,,,
MWF, 5:00PM, 6:00PM, 1, 1,,,,,
MWF, 6:00PM, 7:00PM, 1, 1,,,,,
TR, 8:00AM, 9:30AM, 1.5, 1.5,,,,,
TR, 12:00PM, 1:30PM, 1.5, 1.5,,,,,
TR, 1:30PM, 3:00PM, 1.5, 1.5,,,,,
TR, 3:00PM, 4:30PM, 1.5, 1.5,,,,,
TR, 4:00PM, 5:30PM, 1.5, 1.5,,,,,
TR, 4:30PM, 6:00PM, 1.5, 1.5,,,,,
TR, 5:00PM, 6:30PM, 1.5, 1.5,,,,,
TR, 5:30PM, 7:00PM, 1.5, 1.5,,,,,
TR, 6:00PM, 7:30PM, 1.5, 1.5,,,,,
TR, 8:00AM, 9:30AM, 1.5, 1.5,,,,,
TR, 12:00PM, 1:30PM, 1.5, 1.5,,,,,
TR, 1:30PM, 3:00PM, 1.5, 1.5,,,,,
TR, 3:00PM, 4:30PM, 1.5, 1.5,,,,,
TR, 4:00PM, 5:30PM, 1.5, 1.5,,,,,
TR, 4:30PM, 6:00PM, 1.5, 1.5,,,,,
TR, 5:00PM, 6:30PM, 1.5, 1.5,,,,,
TR, 5:30PM, 7:00PM, 1.5, 1.5,,,,,
TR, 6:00PM, 7:30PM, 1.5, 1.5,,,,,
M, 8:00AM, 11:00AM, 3, 3,,,,,
M, 9:00AM, 12:00PM, 3, 3,,,,,
M, 10:00AM, 1:00PM, 3, 3,,,,,
M, 11:00AM, 2:00PM, 3, 3,,,,,
M, 12:00PM, 3:00PM, 3, 3,,,,,
M, 1:00PM, 4:00PM, 3, 3,,,,,
M, 2:00PM, 5:00PM, 3, 3,,,,,
M, 3:00PM, 6:00PM, 3, 3,,,,,
M, 4:00PM, 7:00PM, 3, 3,,,,,
W, 8:00AM, 11:00AM, 3, 3,,,,,
W, 9:00AM, 12:00PM, 3, 3,,,,,
W, 10:00AM, 1:00PM, 3, 3,,,,,
W, 11:00AM, 2:00PM, 3, 3,,,,,
W, 12:00PM, 3:00PM, 3, 3,,,,,
W, 1:00PM, 4:00PM, 3, 3,,,,,
W, 2:00PM, 5:00PM, 3, 3,,,,,
W, 3:00PM, 6:00PM, 3, 3,,,,,
W, 4:00PM, 7:00PM, 3, 3,,,,,
F, 8:00AM, 11:00AM, 3, 3,,,,,
F, 9:00AM, 12:00PM, 3, 3,,,,,
F, 10:00AM, 1:00PM, 3, 3,,,,,
F, 11:00AM, 2:00PM, 3, 3,,,,,
F, 12:00PM, 3:00PM, 3, 3,,,,,
