days, time_start, time_end, lecture_hours, total_hours, days2, time_start2, time_end2, lecture_hours2, total_hours2
MWF, 7:00AM, 9:00AM, 1, 2, , , , ,
MWF, 8:00AM, 10:00AM, 1, 2, , , , ,
MWF, 9:00AM, 11:00AM, 1, 2, , , , ,
MWF, 10:00AM, 12:00PM, 1, 2, , , , ,
MWF, 11:00AM, 1:00PM, 1, 2, , , , ,
MWF, 12:00PM, 2:00PM, 1, 2, , , , ,
MWF, 1:00PM, 3:00PM, 1, 2, , , , ,
MWF, 2:00PM, 4:00PM, 1, 2, , , , ,
MWF, 3:00PM, 5:00PM, 1, 2, , , , ,
MWF, 4:00PM, 6:00PM, 1, 2, , , , ,
MWF, 5:00PM, 7:00PM, 1, 2, , , , ,
MWF, 6:00PM, 8:00PM, 1, 2, , , , ,
MWF, 7:00PM, 9:00PM, 1, 2, , , , ,
MW, 7:00AM, 9:00AM, 1, 2, , , , ,
MW, 8:00AM, 10:00AM, 1, 2, , , , ,
MW, 9:00AM, 11:00AM, 1, 2, , , , ,
MW, 10:00AM, 12:00PM, 1, 2, , , , ,
MW, 11:00AM, 1:00PM, 1, 2, , , , ,
MW, 12:00PM, 2:00PM, 1, 2, , , , ,
MW, 1:00PM, 3:00PM, 1, 2, , , , ,
MW, 2:00PM, 4:00PM, 1, 2, , , , ,
MW, 3:00PM, 5:00PM, 1, 2, , , , ,
MW, 4:00PM, 6:00PM, 1, 2, , , , ,
MW, 5:00PM, 7:00PM, 1, 2, , , , ,
MW, 6:00PM, 8:00PM, 1, 2, , , , ,
MW, 7:00PM, 9:00PM, 1, 2, , , , ,

//hour lunch break
MW, 9:00AM, 12:00AM, 1, 3, , , , ,


//this is for lec and activity on different times
MW, 7:00AM, 8:00AM, 1, 1, F, 7:00AM, 9:00AM, 0, 2
MW, 8:00AM, 9:00AM, 1, 1, F, 8:00AM, 10:AM, 0, 2
MW, 9:00AM, 10:00AM, 1, 1, , , , ,
MW, 10:00AM, 11:00PM, 1, 1, , , , ,
MW, 11:00AM, 12:00PM, 1, 1, , , , ,
MW, 12:00PM, 1:00PM, 1, 1, , , , ,
MW, 1:00PM, 2:00PM, 1, 1, , , , ,
MW, 2:00PM, 3:00PM, 1, 1, , , , ,
MW, 3:00PM, 4:00PM, 1, 1, , , , ,
MW, 4:00PM, 5:00PM, 1, 1, , , , ,
MW, 5:00PM, 6:00PM, 1, 1, , , , ,
MW, 6:00PM, 7:00PM, 1, 1, , , , ,
MW, 7:00PM, 8:00PM, 1, 1, , , , ,

MTWR, 7:00AM, 8:00AM, 1, 1, , , , ,
MTWR, 8:00AM, 9:00AM, 1, 1, , , , ,
MTWR, 9:00AM, 10:00AM, 1, 1, , , , ,
MTWR, 10:00AM, 11:00AM, 1, 1, , , , ,
MTWR, 11:00AM, 12:00PM, 1, 1, , , , ,
MTWR, 12:00PM, 1:00PM, 1, 1, , , , ,
MTWR, 1:00PM, 2:00PM, 1, 1, , , , ,
MTWR, 2:00PM, 3:00PM, 1, 1, , , , ,
MTWR, 3:00PM, 4:00PM, 1, 1, , , , ,
MTWR, 4:00PM, 5:00PM, 1, 1, , , , ,
MTWR, 5:00PM, 6:00PM, 1, 1, , , , ,
MTWR, 6:00PM, 7:00PM, 1, 1, , , , ,
MTWR, 7:00PM, 8:00PM, 1, 1, , , , ,
MTWR, 8:00PM, 9:00PM, 1, 1, , , , ,



TR, 8:00AM, 11:00AM, 1.5, 3, , , , ,
TR, 12:00PM, 3:00PM, 1.5, 3, , , , ,

//can take into account university hour
TR, 9:30AM, 1:30PM, 1.5, 4, , , , ,


USE FOR CSC WHILE AUTO GENERATION IS BEING DONE
----------------------------------------------------------------------------------------------------------------------------------
days, time_start, time_end, lecture_hours, total_hours, days2, time_start2, time_end2, lecture_hours2, total_hours2
MWF, 7:00AM, 9:00AM, 1, 2,,,,,
MWF, 8:00AM, 10:00AM, 1, 2,,,,,
MWF, 9:00AM, 11:00AM, 1, 2,,,,,
MWF, 10:00AM, 12:00PM, 1, 2,,,,,
MWF, 11:00AM, 1:00PM, 1, 2,,,,,
MWF, 12:00PM, 2:00PM, 1, 2,,,,,
MWF, 1:00PM, 3:00PM, 1, 2,,,,,
MWF, 2:00PM, 4:00PM, 1, 2,,,,,
MWF, 3:00PM, 5:00PM, 1, 2,,,,,
MWF, 4:00PM, 6:00PM, 1, 2,,,,,
MWF, 5:00PM, 7:00PM, 1, 2,,,,,
MWF, 6:00PM, 8:00PM, 1, 2,,,,,
MWF, 7:00PM, 9:00PM, 1, 2,,,,,
TR, 8:00AM, 11:00AM, 1.5, 3,,,,,
TR, 12:00PM, 3:00PM, 1.5, 3,,,,,
TR, 1:30PM, 4:30PM, 1.5, 3,,,,,
TR, 3:00PM, 6:00PM, 1.5, 3,,,,,
TR, 4:00PM, 7:00PM, 1.5, 3,,,,,
TR, 4:30PM, 7:30PM, 1.5, 3,,,,,
TR, 5:00PM, 8:00PM, 1.5, 3,,,,,
